variant       return_call return_call_ind   br_table
goto-O2                 0              0       2378
goto-O3                 0              0       2413
tc0-O2               1251            302       2377
tc0-O3               1119            328       2412
tc1-O3               1118            328       2412
tc2-O3               1118            328       2412
tc3-O3               1586             85       2413
tc4-O3               1586             85       2413
tc5-O3               1617             85       2413
tc6-O3               1586             85       2413
